Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Genome,Last Change,MSL of Last Change,Proposal for Last Change ,Taxon History URL
13701,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus bovjem,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305032
13702,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus capartenc,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305027
13703,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus equinfane,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305028
13704,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus felimdef,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305029
13705,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus humimdef1,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305030
13706,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus humimdef2,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305031
13707,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus ovivismae,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305035
13708,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus pum,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305033
13709,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Orthoretrovirinae,Lentivirus,,Lentivirus simimdef,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip,ictv.global=202305034
13710,Riboviria,,Pararnavirae,,Artverviricota,,Revtraviricetes,,Ortervirales,,Retroviridae,Spumaretrovirinae,Bovispumavirus,,Bovispumavirus bostau,ssRNA-RT,"Renamed,",39,2023.009D.Retroviridae_68rensp.zip;2023.009DX.Retroviridae_68rensp_Error_Correction.zip,ictv.global=202305039
